y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI
5,41,OR,Oregon,208,362,9559
5,57,FR,Foreign,205,399,9593
5,35,NM,New Mexico,193,323,9595
5,24,MD,Maryland,185,346,11326
5,25,MA,Massachusetts,158,257,11496
5,16,ID,Idaho,138,263,7457
5,34,NJ,New Jersey,132,233,11618
5,30,MT,Montana,112,212,5633
5,2,AK,Alaska,108,247,5485
5,15,HI,Hawaii,90,197,4702
5,38,ND,North Dakota,87,161,4602
5,56,WY,Wyoming,85,155,3943
5,46,SD,South Dakota,81,167,4871
5,54,WV,West Virginia,74,130,3765
5,9,CT,Connecticut,68,115,5347
5,11,DC,District Of Columbia,56,67,3194
5,23,ME,Maine,40,68,2287
5,33,NH,New Hampshire,36,73,1975
5,10,DE,Delaware,32,70,2035
5,44,RI,Rhode Island,31,49,2023
5,50,VT,Vermont,15,26,1042
6,96,CA,CA Total Migration-US and Foreign,403041,724689,50347830
6,97,CA,CA Total Migration-US,399436,716948,50074195
6,98,CA,CA Total Migration-Foreign,3605,7741,273635
6,97,CA,CA Total Migration-Same State,558007,951147,53848903
6,6,CA,CA Non-migrants,14672600,29296404,1515371477
6,48,TX,Texas,52816,105434,7221838
6,4,AZ,Arizona,35173,63097,3689374
6,32,NV,Nevada,31386,54740,5246582
6,53,WA,Washington,27818,46677,3752102
6,12,FL,Florida,23117,40730,4591905
6,41,OR,Oregon,20275,32906,1908972
6,8,CO,Colorado,16153,26911,2237050
6,36,NY,New York,16000,21700,2199523
6,16,ID,Idaho,12341,26233,1611026
6,47,TN,Tennessee,11307,23403,1440329
6,37,NC,North Carolina,11214,21961,1159082
6,49,UT,Utah,10011,19930,1399909
6,13,GA,Georgia,9948,18713,978033
6,51,VA,Virginia,9584,18441,980918
6,17,IL,Illinois,8806,13919,1021449
6,25,MA,Massachusetts,6418,9568,952763
6,42,PA,Pennsylvania,6320,10072,679914
6,15,HI,Hawaii,6121,10743,822712
6,39,OH,Ohio,5635,9596,508840
6,26,MI,Michigan,5321,9190,608679
6,29,MO,Missouri,5245,9928,432565
6,34,NJ,New Jersey,5023,8091,672703
6,40,OK,Oklahoma,4874,9815,288728
6,24,MD,Maryland,4595,7988,487673
6,45,SC,South Carolina,4364,8838,424228
6,35,NM,New Mexico,3850,6427,316358
6,18,IN,Indiana,3794,7046,310507
6,27,MN,Minnesota,3745,6239,349969
6,57,FR,Foreign,3605,7741,273635
6,30,MT,Montana,3550,6563,598903
6,55,WI,Wisconsin,3153,5417,281584
6,5,AR,Arkansas,3139,6554,226927
6,1,AL,Alabama,2492,4876,192602
6,20,KS,Kansas,2416,4588,180316
6,21,KY,Kentucky,2384,4585,188396
6,9,CT,Connecticut,2358,3932,336984
6,22,LA,Louisiana,2217,3810,182374
6,19,IA,Iowa,2157,3598,119683
6,11,DC,District Of Columbia,1846,2381,211823
6,31,NE,Nebraska,1611,3032,104148
6,56,WY,Wyoming,1369,2607,226519
6,2,AK,Alaska,1350,2273,88411
6,46,SD,South Dakota,1294,2484,127921
6,28,MS,Mississippi,1258,2423,82894
6,23,ME,Maine,1185,1965,132564
6,33,NH,New Hampshire,1111,1877,208053
6,44,RI,Rhode Island,796,1343,79492
6,38,ND,North Dakota,730,1367,38094
6,50,VT,Vermont,676,1092,85334
6,10,DE,Delaware,582,961,55614
6,54,WV,West Virginia,508,884,31829
8,96,CO,CO Total Migration-US and Foreign,114450,201247,8838704
8,97,CO,CO Total Migration-US,113544,199093,8769574
8,98,CO,CO Total Migration-Foreign,906,2154,69129
8,97,CO,CO Total Migration-Same State,146325,236978,10389117
8,8,CO,CO Non-migrants,2093190,4130700,204558100
8,48,TX,Texas,13162,25021,1063832
8,12,FL,Florida,9974,18017,1030131
8,6,CA,California,9189,14293,769522
8,4,AZ,Arizona,6606,11264,558697
8,53,WA,Washington,3886,6376,307839
8,37,NC,North Carolina,3488,6409,273913
8,35,NM,New Mexico,2979,5102,170459
8,29,MO,Missouri,2851,5291,186121
8,17,IL,Illinois,2836,4407,190715
8,13,GA,Georgia,2809,5409,191895
8,40,OK,Oklahoma,2744,5288,159731
8,47,TN,Tennessee,2567,4804,209078
8,56,WY,Wyoming,2542,4521,182584
8,36,NY,New York,2529,3699,179709
8,20,KS,Kansas,2517,4821,157248
8,51,VA,Virginia,2483,4648,209633
8,49,UT,Utah,2384,4292,175795
8,41,OR,Oregon,2249,3437,151022
8,26,MI,Michigan,2125,3545,164527
8,39,OH,Ohio,2086,3598,137519
8,31,NE,Nebraska,2068,3693,119363
8,32,NV,Nevada,1981,3356,152305
8,27,MN,Minnesota,1942,3166,147529
8,42,PA,Pennsylvania,1904,3102,137668
8,55,WI,Wisconsin,1729,2760,125670
8,45,SC,South Carolina,1712,3265,141717
8,30,MT,Montana,1645,2755,141307
8,18,IN,Indiana,1526,2746,102358
8,19,IA,Iowa,1414,2430,81145
8,16,ID,Idaho,1413,2702,101778
8,25,MA,Massachusetts,1289,1913,112802
8,5,AR,Arkansas,1271,2481,88392
8,1,AL,Alabama,1214,2419,84668
8,24,MD,Maryland,1123,1928,83368
8,46,SD,South Dakota,1118,2024,93160
8,21,KY,Kentucky,950,1789,61483
8,22,LA,Louisiana,926,1679,53391
8,15,HI,Hawaii,922,1696,74103
8,57,FR,Foreign,906,2154,69129
8,34,NJ,New Jersey,854,1328,64348
8,2,AK,Alaska,681,1280,43970
8,23,ME,Maine,588,953,44095
8,28,MS,Mississippi,556,1016,32574
8,9,CT,Connecticut,538,854,52015
8,38,ND,North Dakota,523,908,29051
8,33,NH,New Hampshire,409,652,32402
8,50,VT,Vermont,322,519,23923
8,11,DC,District Of Columbia,304,411,26215
8,54,WV,West Virginia,271,483,16016
8,44,RI,Rhode Island,184,284,20809
8,10,DE,Delaware,161,259,11980
9,96,CT,CT Total Migration-US and Foreign,51591,85886,6862485
9,97,CT,CT Total Migration-US,51275,85293,6840523
9,98,CT,CT Total Migration-Foreign,316,593,21962
9,97,CT,CT Total Migration-Same State,34531,54747,2531525
9,9,CT,CT Non-migrants,1392900,2693667,160531241
9,12,FL,Florida,9014,16466,2126536
9,36,NY,New York,8184,12133,1072041
9,25,MA,Massachusetts,5381,7720,517746
9,37,NC,North Carolina,2536,4684,241970
9,6,CA,California,2324,3490,260642
9,48,TX,Texas,2074,3918,230248
9,34,NJ,New Jersey,1887,3077,235259
9,45,SC,South Carolina,1858,3516,264145
9,42,PA,Pennsylvania,1609,2711,158674
9,51,VA,Virginia,1497,2711,139670
9,44,RI,Rhode Island,1469,2234,159559
9,13,GA,Georgia,1423,2691,120159
9,33,NH,New Hampshire,1034,1724,229535
9,23,ME,Maine,948,1527,91737
9,8,CO,Colorado,851,1227,103286
9,24,MD,Maryland,810,1290,77797
9,47,TN,Tennessee,731,1383,66290
9,4,AZ,Arizona,652,1055,63940
9,53,WA,Washington,636,1076,75423
9,50,VT,Vermont,621,954,69439
9,17,IL,Illinois,590,903,61746
9,39,OH,Ohio,587,1018,42584
9,26,MI,Michigan,423,770,46547
9,11,DC,District Of Columbia,328,396,30389
9,57,FR,Foreign,316,593,21962
9,18,IN,Indiana,296,545,28829
9,10,DE,Delaware,257,455,35067
9,41,OR,Oregon,248,367,19138
9,49,UT,Utah,230,455,37907
9,32,NV,Nevada,230,369,28387
9,1,AL,Alabama,229,446,18875
9,27,MN,Minnesota,226,403,22177
9,29,MO,Missouri,223,386,22744
9,55,WI,Wisconsin,220,379,17947
9,15,HI,Hawaii,208,345,18761
9,21,KY,Kentucky,176,299,6933
9,22,LA,Louisiana,138,225,9835
9,40,OK,Oklahoma,135,245,9315
9,5,AR,Arkansas,117,223,8015
9,35,NM,New Mexico,109,160,7707
9,19,IA,Iowa,106,168,9211
9,20,KS,Kansas,104,198,8001
9,54,WV,West Virginia,83,153,4874
9,16,ID,Idaho,79,156,9625
9,31,NE,Nebraska,71,113,5611
9,30,MT,Montana,70,111,3075
9,46,SD,South Dakota,66,140,5708
9,28,MS,Mississippi,63,102,3672
9,2,AK,Alaska,55,74,2926
9,56,WY,Wyoming,52,76,10252
9,38,ND,North Dakota,17,26,570
10,96,DE,DE Total Migration-US and Foreign,16519,28311,1432778
10,97,DE,DE Total Migration-US,16366,28009,1424909
10,98,DE,DE Total Migration-Foreign,153,302,7869
10,97,DE,DE Total Migration-Same State,4954,8823,318213
10,10,DE,DE Non-migrants,371855,726638,29942936
10,42,PA,Pennsylvania,3623,5994,270192
10,24,MD,Maryland,2973,5051,175182
10,12,FL,Florida,1664,2977,336546
10,34,NJ,New Jersey,1232,2009,85296
10,51,VA,Virginia,798,1346,105223
10,36,NY,New York,726,1089,61128
10,37,NC,North Carolina,662,1209,48859
10,48,TX,Texas,643,1241,46826
10,13,GA,Georgia,461,875,28813
10,6,CA,California,415,651,33809
10,45,SC,South Carolina,313,610,29409
10,25,MA,Massachusetts,210,335,17278
10,39,OH,Ohio,205,348,12365
10,4,AZ,Arizona,189,343,13952
10,47,TN,Tennessee,184,355,13008
10,8,CO,Colorado,184,283,13637
10,57,FR,Foreign,153,302,7869
10,53,WA,Washington,129,204,11441
10,17,IL,Illinois,125,212,9477
10,9,CT,Connecticut,120,207,7822
10,26,MI,Michigan,107,189,7277
10,18,IN,Indiana,104,177,5275
10,11,DC,District Of Columbia,100,128,10498
10,1,AL,Alabama,89,200,6749
10,32,NV,Nevada,84,135,8055
10,54,WV,West Virginia,71,145,4113
10,29,MO,Missouri,66,130,3610
10,21,KY,Kentucky,64,121,2782
10,40,OK,Oklahoma,60,140,3655
10,23,ME,Maine,58,95,3197
10,15,HI,Hawaii,53,90,3029
10,55,WI,Wisconsin,50,84,6274
10,22,LA,Louisiana,49,89,2665
10,41,OR,Oregon,48,70,4433
10,33,NH,New Hampshire,42,58,3710
10,49,UT,Utah,41,73,3591
10,27,MN,Minnesota,41,62,2756
10,5,AR,Arkansas,34,56,1869
10,2,AK,Alaska,34,78,1917
10,44,RI,Rhode Island,33,60,2249
10,30,MT,Montana,32,52,1669
10,28,MS,Mississippi,32,62,1243
10,20,KS,Kansas,32,51,2047
10,19,IA,Iowa,31,52,1015
10,35,NM,New Mexico,30,50,1581
10,50,VT,Vermont,26,42,2536
10,16,ID,Idaho,25,44,1640
10,46,SD,South Dakota,24,50,1096
10,31,NE,Nebraska,19,37,1628
10,56,WY,Wyoming,16,25,1769
10,38,ND,North Dakota,15,25,719
11,96,DC,DC Total Migration-US and Foreign,36086,51822,4255679
11,97,DC,DC Total Migration-US,35750,51126,4207668
11,98,DC,DC Total Migration-Foreign,336,696,48010
11,11,DC,DC Non-migrants,258325,420907,31591993
11,24,MD,Maryland,11221,18566,1141982
11,51,VA,Virginia,7061,9796,865942
11,36,NY,New York,2083,2407,228377
11,6,CA,California,2033,2542,240313
11,12,FL,Florida,1604,2243,399543
11,42,PA,Pennsylvania,1080,1352,105403
11,48,TX,Texas,1062,1450,124999
11,37,NC,North Carolina,1025,1452,98873
11,25,MA,Massachusetts,805,1007,99838
11,17,IL,Illinois,683,837,70405
11,13,GA,Georgia,676,897,65208
11,8,CO,Colorado,659,819,81045
11,34,NJ,New Jersey,596,750,57232
11,53,WA,Washington,477,622,60256
11,39,OH,Ohio,376,523,34317
11,26,MI,Michigan,357,479,35049
11,57,FR,Foreign,336,696,48010
11,9,CT,Connecticut,330,407,35273
11,45,SC,South Carolina,314,452,39886
11,47,TN,Tennessee,288,380,37914
11,4,AZ,Arizona,215,291,22112
11,27,MN,Minnesota,189,232,18503
11,41,OR,Oregon,174,215,16211
11,10,DE,Delaware,171,251,38342
11,29,MO,Missouri,161,202,14119
11,23,ME,Maine,159,231,31853
11,55,WI,Wisconsin,142,202,15357
11,18,IN,Indiana,129,161,9827
11,22,LA,Louisiana,121,172,15793
11,32,NV,Nevada,119,155,30377
11,54,WV,West Virginia,117,175,12471
11,33,NH,New Hampshire,114,158,13378
11,15,HI,Hawaii,107,166,12992
11,1,AL,Alabama,107,166,12379
11,49,UT,Utah,105,155,14784
11,44,RI,Rhode Island,94,127,11307
11,19,IA,Iowa,93,112,5316
11,21,KY,Kentucky,92,123,9246
11,35,NM,New Mexico,85,120,13433
11,50,VT,Vermont,82,118,10333
11,40,OK,Oklahoma,66,95,6869
11,20,KS,Kansas,63,87,7096
11,30,MT,Montana,53,65,8348
11,5,AR,Arkansas,51,68,5205
11,46,SD,South Dakota,38,48,2656
11,16,ID,Idaho,37,54,4369
11,28,MS,Mississippi,36,50,3867
11,2,AK,Alaska,36,57,4375
11,31,NE,Nebraska,30,35,2671
11,56,WY,Wyoming,18,35,10793
11,38,ND,North Dakota,16,19,1429
12,96,FL,FL Total Migration-US and Foreign,264061,451633,18970043
12,97,FL,FL Total Migration-US,260005,443650,18737886
12,98,FL,FL Total Migration-Foreign,4056,7983,232157
12,97,FL,FL Total Migration-Same State,387184,667607,23863225
12,12,FL,FL Non-migrants,8080885,15343429,687659953
12,13,GA,Georgia,26055,47745,1675280
12,48,TX,Texas,20616,36961,1374945
12,37,NC,North Carolina,18291,32613,1280481
12,36,NY,New York,17048,25813,1153329
12,6,CA,California,12455,19863,1126619
12,47,TN,Tennessee,11822,21582,827019
12,51,VA,Virginia,10677,19093,1060654
12,42,PA,Pennsylvania,9503,15535,676843
12,39,OH,Ohio,9392,15741,611514
12,45,SC,South Carolina,8079,14589,558212
12,26,MI,Michigan,7952,13203,475318
12,1,AL,Alabama,7865,14829,467978
12,8,CO,Colorado,7735,12112,572949
12,34,NJ,New Jersey,7567,12092,676323
12,17,IL,Illinois,7344,11578,531467
12,25,MA,Massachusetts,6667,10360,544350
12,18,IN,Indiana,6080,10540,317518
12,24,MD,Maryland,5183,8610,389865
12,53,WA,Washington,4543,7399,322828
12,4,AZ,Arizona,4316,7142,308310
12,57,FR,Foreign,4056,7983,232157
12,21,KY,Kentucky,4039,7073,248993
12,9,CT,Connecticut,3854,6158,364776
12,29,MO,Missouri,3523,6182,204919
12,55,WI,Wisconsin,3257,5381,258669
12,32,NV,Nevada,2559,4183,346392
12,22,LA,Louisiana,2483,4280,129173
12,27,MN,Minnesota,2419,3975,206265
12,23,ME,Maine,2054,3360,143387
12,28,MS,Mississippi,2045,3786,97872
12,40,OK,Oklahoma,2009,3834,93694
12,33,NH,New Hampshire,1833,2977,157662
12,41,OR,Oregon,1802,2720,138904
12,5,AR,Arkansas,1710,3089,109524
12,49,UT,Utah,1660,3043,124780
12,19,IA,Iowa,1651,2637,93540
12,20,KS,Kansas,1522,2801,86281
12,44,RI,Rhode Island,1346,2159,131554
12,54,WV,West Virginia,1303,2186,64470
12,35,NM,New Mexico,1284,2273,78651
12,15,HI,Hawaii,1153,2103,63648
12,11,DC,District Of Columbia,1011,1316,95257
12,10,DE,Delaware,1010,1669,93565
12,31,NE,Nebraska,1005,1711,53255
12,50,VT,Vermont,785,1254,55666
12,2,AK,Alaska,779,1404,37958
12,30,MT,Montana,724,1142,49681
12,16,ID,Idaho,669,1245,50000
12,46,SD,South Dakota,498,854,43264
12,38,ND,North Dakota,440,795,21042
12,56,WY,Wyoming,388,660,143242
13,96,GA,GA Total Migration-US and Foreign,124624,227888,9138668
13,97,GA,GA Total Migration-US,123102,224629,9051354
13,98,GA,GA Total Migration-Foreign,1522,3259,87314
13,97,GA,GA Total Migration-Same State,246348,465351,14502398
13,13,GA,GA Non-migrants,3467626,7212072,277561819
13,12,FL,Florida,24120,44175,2320171
13,48,TX,Texas,9390,17951,640989
13,45,SC,South Carolina,8738,16189,698292
13,1,AL,Alabama,8704,16900,510255
13,37,NC,North Carolina,8473,15293,662726
13,47,TN,Tennessee,7986,14631,538486
13,6,CA,California,5931,9841,452488
13,51,VA,Virginia,4363,8069,288734
13,36,NY,New York,4043,6338,238192
13,8,CO,Colorado,2762,4792,203920
13,39,OH,Ohio,2728,4934,156552
13,17,IL,Illinois,2535,4335,158993
13,42,PA,Pennsylvania,2281,4060,145010
13,24,MD,Maryland,2150,3910,132585
13,53,WA,Washington,2148,3976,161696
13,26,MI,Michigan,2045,3727,116699
13,4,AZ,Arizona,1766,3172,125009
13,34,NJ,New Jersey,1691,2887,106289
13,22,LA,Louisiana,1578,2857,76237
13,21,KY,Kentucky,1571,3101,97216
13,18,IN,Indiana,1549,2918,85099
13,57,FR,Foreign,1522,3259,87314
13,28,MS,Mississippi,1473,2738,70898
13,29,MO,Missouri,1329,2605,76090
13,25,MA,Massachusetts,1239,1983,96296
13,32,NV,Nevada,971,1743,56389
13,40,OK,Oklahoma,912,1734,49061
13,55,WI,Wisconsin,806,1459,49932
13,20,KS,Kansas,777,1640,49365
13,27,MN,Minnesota,759,1305,57534
13,9,CT,Connecticut,729,1286,88966
13,5,AR,Arkansas,710,1433,42355
13,49,UT,Utah,693,1382,65499
13,41,OR,Oregon,686,1157,44261
13,15,HI,Hawaii,645,1391,39279
13,19,IA,Iowa,583,1004,27950
13,11,DC,District Of Columbia,529,708,38274
13,35,NM,New Mexico,443,813,33044
13,2,AK,Alaska,424,915,24709
13,54,WV,West Virginia,360,695,19589
13,23,ME,Maine,301,530,22963
13,31,NE,Nebraska,299,585,17565
13,10,DE,Delaware,282,516,14640
13,16,ID,Idaho,271,517,26788
13,30,MT,Montana,266,498,38185
13,33,NH,New Hampshire,256,441,21629
13,44,RI,Rhode Island,186,328,16216
13,46,SD,South Dakota,179,355,10410
13,38,ND,North Dakota,179,334,8597
13,56,WY,Wyoming,143,264,18259
13,50,VT,Vermont,120,214,10974
15,96,HI,HI Total Migration-US and Foreign,29585,59927,2105287
15,97,HI,HI Total Migration-US,28672,57763,2032306
15,98,HI,HI Total Migration-Foreign,913,2164,72981
15,97,HI,HI Total Migration-Same State,2960,4853,155573
15,15,HI,HI Non-migrants,555355,1060404,41566142
15,6,CA,California,4885,8542,344458
15,48,TX,Texas,2531,5736,193340
15,53,WA,Washington,2416,4784,166692
15,32,NV,Nevada,1782,3379,112376
15,12,FL,Florida,1669,3398,137263
