SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
50,1,2,34,29,New Jersey,Ocean County,637229,638422,649741,655735,1193,11319,5994,2363,9601,10065,2753,8156,7970,-390,1445,2095,5,175,396,1620,9878,3617,1625,10053,4013,-42,-179,-114,6942,6938,6941,6945,14.90649863,15.41966302,12.66299374,12.21010574,2.243504898,3.20955728,0.271704745,0.606675266,15.33656843,5.541273834,15.60827318,6.147949101
50,1,2,34,31,New Jersey,Passaic County,525052,523406,518345,513936,-1646,-5061,-4409,1613,6155,6433,2116,4317,4252,-503,1838,2181,86,1035,2787,-1227,-7821,-9585,-1141,-6786,-6798,-2,-113,208,10486,10482,9311,9404,11.81664333,12.46366057,8.287969006,8.23806696,3.528674319,4.225593613,1.987039129,5.399692526,-15.01510438,-18.57052489,-13.02806525,-13.17083236
50,1,2,34,33,New Jersey,Salem County,64834,64842,65058,65117,8,216,59,167,663,686,257,903,903,-90,-240,-217,0,13,41,83,414,264,83,427,305,15,29,-29,824,825,824,824,10.20785219,10.53965815,13.90300231,13.87363165,-3.695150115,-3.333973497,0.200153965,0.62992126,6.374133949,4.056078356,6.574287914,4.685999616
50,1,2,34,35,New Jersey,Somerset County,345356,344725,346331,346875,-631,1606,544,761,3015,3121,1145,2702,2631,-384,313,490,34,567,1440,-302,477,-1321,-268,1044,119,21,249,-65,4059,4059,4043,4045,8.725776203,9.004538334,7.819916186,7.59081716,0.905860017,1.413721174,1.640966868,4.154609164,1.380495937,-3.811276879,3.021462805,0.343332285
50,1,2,34,37,New Jersey,Sussex County,144231,143915,145645,146084,-316,1730,439,327,1295,1369,547,1431,1403,-220,-136,-34,0,36,77,-107,1843,490,-107,1879,567,11,-13,-94,1259,1259,1251,1247,8.944605609,9.385422773,9.883961873,9.618515814,-0.939356265,-0.233093042,0.248653129,0.527887183,12.72965879,3.359282073,12.97831192,3.887169256
50,1,2,34,39,New Jersey,Union County,575352,573617,572810,569815,-1735,-807,-2995,1626,6358,6649,2296,4564,4548,-670,1794,2101,80,1286,3343,-1154,-4089,-8598,-1074,-2803,-5255,9,202,159,5523,5522,5465,5402,11.09185321,11.63811399,7.962129294,7.960617,3.129723916,3.677496992,2.243492172,5.851438574,-7.133467722,-15.04955694,-4.88997555,-9.198118368
50,1,2,34,41,New Jersey,Warren County,109638,109513,110494,110926,-125,981,432,234,930,1040,429,1150,1143,-195,-220,-103,0,71,171,40,1101,427,40,1172,598,30,29,-63,1669,1669,1382,1500,8.454276455,9.393912022,10.45421282,10.32427062,-1.999936366,-0.930358595,0.645434009,1.544575919,10.00877245,3.856923494,10.65420646,5.401499413
40,4,8,35,0,New Mexico,New Mexico,2117527,2118390,2116677,2113344,863,-1713,-3333,5328,21322,20955,5509,24691,25250,-181,-3369,-4295,159,2259,5893,653,-1207,-4504,812,1052,1389,232,604,-427,42836,42799,43000,42924,10.06926219,9.907752231,11.66026417,11.93847501,-1.591001984,-2.030722779,1.066807208,2.786274584,-0.570002789,-2.129540255,0.496804419,0.656734328
50,4,8,35,1,New Mexico,Bernalillo County,676438,676803,674980,672508,365,-1823,-2472,1608,6369,6250,1691,7605,7600,-83,-1236,-1350,75,918,2400,223,-1973,-3203,298,-1055,-803,150,468,-319,11164,11145,11231,11201,9.42311007,9.276520459,11.25180595,11.28024888,-1.828695878,-2.003728419,1.358206162,3.562183856,-2.919107579,-4.754031205,-1.560901417,-1.191847349
50,4,8,35,3,New Mexico,Catron County,3582,3611,3726,3827,29,115,101,1,11,11,8,44,47,-7,-33,-36,0,7,18,41,150,112,41,157,130,-5,-9,7,43,43,43,43,2.99850075,2.912749901,11.994003,12.44538594,-8.995502249,-9.532636039,1.908136841,4.766318019,40.88864659,29.6570899,42.79678343,34.42340792
50,4,8,35,5,New Mexico,Chaves County,65158,65148,64644,63894,-10,-504,-750,177,783,766,188,872,892,-11,-89,-126,1,62,166,-13,-495,-801,-12,-433,-635,13,18,11,2101,2101,2106,2108,12.06545858,11.91865441,13.43688363,13.87916414,-1.371425049,-1.960509733,0.955374754,2.582893775,-7.627588757,-12.46324044,-6.672214004,-9.880346668
50,4,8,35,6,New Mexico,Cibola County,27172,27102,27238,26950,-70,136,-288,73,300,292,80,361,403,-7,-61,-111,0,10,24,-64,181,-201,-64,191,-177,1,6,0,2204,2221,2226,2232,11.04158999,10.77729387,13.28671329,14.87414188,-2.245123298,-4.096848011,0.368053,0.885804975,6.661759293,-7.418616668,7.029812293,-6.532811693
50,4,8,35,7,New Mexico,Colfax County,12385,12353,12356,12246,-32,3,-110,23,93,91,29,193,197,-6,-100,-106,0,-1,-4,-26,110,6,-26,109,2,0,-6,-6,628,628,628,629,7.527621514,7.397772539,15.6218382,16.01495813,-8.094216682,-8.617185595,-0.080942167,-0.325176815,8.90363835,0.487765222,8.822696184,0.162588407
50,4,8,35,9,New Mexico,Curry County,48429,48370,47960,47532,-59,-410,-428,216,778,774,112,490,506,104,288,268,7,39,106,-169,-727,-804,-162,-688,-698,-1,-10,2,835,835,816,817,16.15280806,16.21078206,10.1733624,10.59774641,5.979445656,5.613035647,0.809716599,2.220081263,-15.09394789,-16.83910694,-14.28423129,-14.61902568
50,4,8,35,11,New Mexico,De Baca County,1697,1683,1679,1693,-14,-4,14,6,16,16,7,40,42,-1,-24,-26,0,0,0,-12,22,39,-12,22,39,-1,-2,1,1,1,1,1,9.518143962,9.489916963,23.79535991,24.91103203,-14.27721594,-15.42111507,0,0,13.08744795,23.1316726,13.08744795,23.1316726
50,4,8,35,13,New Mexico,Doña Ana County,219567,220047,221655,223337,480,1608,1682,560,2396,2351,472,2370,2456,88,26,-105,36,303,837,326,1169,1008,362,1472,1845,30,110,-58,4604,4592,4646,4600,10.84894341,10.56648209,10.73121697,11.03840069,0.117726431,-0.471918596,1.371965714,3.761865382,5.293161453,4.530418524,6.665127167,8.292283906
50,4,8,35,15,New Mexico,Eddy County,62314,62329,60899,60400,15,-1430,-499,199,801,784,134,665,674,65,136,110,1,28,70,-65,-1533,-697,-64,-1505,-627,14,-61,18,948,947,946,946,13.00029214,12.92673476,10.79300159,11.11303473,2.207290551,1.813700031,0.454442172,1.154172747,-24.88070893,-11.49226292,-24.42626676,-10.33809017
50,4,8,35,17,New Mexico,Grant County,28190,28203,27892,27686,13,-311,-206,59,249,243,101,444,464,-42,-195,-221,0,16,44,56,-136,-17,56,-120,27,-1,4,-12,660,660,664,660,8.877796595,8.744467235,15.8302879,16.69725431,-6.952491309,-7.952787074,0.570460825,1.583360322,-4.848917016,-0.611752852,-4.27845619,0.971607471
50,4,8,35,19,New Mexico,Guadalupe County,4451,4440,4432,4310,-11,-8,-122,8,38,38,21,61,64,-13,-23,-26,0,0,0,0,18,-100,0,18,-100,2,-3,4,599,599,599,601,8.566275924,8.693662777,13.75112714,14.64195836,-5.184851217,-5.948295585,0,0,4.057709648,-22.87805994,4.057709648,-22.87805994
50,4,8,35,21,New Mexico,Harding County,655,655,636,628,0,-19,-8,2,2,2,4,14,14,-2,-12,-12,0,0,0,3,-7,4,3,-7,4,-1,0,0,0,0,0,0,3.098373354,3.164556962,21.68861348,22.15189873,-18.59024012,-18.98734177,0,0,-10.84430674,6.329113924,-10.84430674,6.329113924
50,4,8,35,23,New Mexico,Hidalgo County,4180,4166,4090,4003,-14,-76,-87,17,38,38,9,72,76,8,-34,-38,0,2,9,-19,-45,-58,-19,-43,-49,-3,1,0,74,74,74,74,9.205426357,9.390831583,17.44186047,18.78166317,-8.236434109,-9.390831583,0.484496124,2.224144322,-10.90116279,-14.33337452,-10.41666667,-12.1092302
50,4,8,35,25,New Mexico,Lea County,74455,74635,73103,72452,180,-1532,-651,277,1110,1089,139,731,756,138,379,333,6,160,435,14,-1991,-1455,20,-1831,-1020,22,-80,36,2101,2102,2112,2115,15.02660115,14.96341589,9.89589679,10.38782591,5.130704355,4.575589983,2.165996562,5.97712205,-26.95311971,-19.99244272,-24.78712315,-14.01532067
50,4,8,35,27,New Mexico,Lincoln County,20273,20313,20421,20411,40,108,-10,41,158,156,59,249,253,-18,-91,-97,0,-2,-5,62,202,93,62,200,88,-4,-1,-1,117,117,117,117,7.757647174,7.641065831,12.22565916,12.39224138,-4.46801198,-4.751175549,-0.098198065,-0.244905956,9.918004615,4.555250784,9.81980655,4.310344828
50,4,8,35,28,New Mexico,Los Alamos County,19418,19415,19340,19187,-3,-75,-153,36,153,148,37,151,156,-1,2,-8,2,58,151,-7,-141,-298,-5,-83,-147,3,6,2,63,63,63,63,7.895755386,7.682923664,7.792542898,8.098216835,0.103212489,-0.415293171,2.993162173,7.838658603,-7.276480454,-15.46967062,-4.283318282,-7.631012018
50,4,8,35,29,New Mexico,Luna County,25422,25447,25486,25749,25,39,263,99,361,352,81,403,418,18,-42,-66,1,44,107,2,20,221,3,64,328,4,17,1,784,779,774,772,14.17548544,13.74060701,15.8247109,16.31697082,-1.649225453,-2.576363814,1.727759998,4.176832244,0.785345454,8.626915195,2.513105452,12.80374744
50,4,8,35,31,New Mexico,McKinley County,72898,72578,71484,69830,-320,-1094,-1654,228,838,827,348,1197,1241,-120,-359,-414,0,25,58,-196,-763,-1324,-196,-738,-1266,-4,3,26,868,867,867,868,11.63387986,11.70443127,16.61784509,17.56372334,-4.983965237,-5.859292073,0.347072788,0.820867005,-10.59266149,-18.73841233,-10.2455887,-17.91754532
50,4,8,35,33,New Mexico,Mora County,4185,4192,4203,4169,7,11,-34,14,37,37,7,49,57,7,-12,-20,0,0,0,1,21,-13,1,21,-13,-1,2,-1,2,2,2,2,8.814770697,8.8389871,11.67361525,13.61681797,-2.85884455,-4.777830865,0,0,5.002977963,-3.105590062,5.002977963,-3.105590062
50,4,8,35,35,New Mexico,Otero County,67843,67873,68538,68823,30,665,285,210,809,802,184,785,802,26,24,0,7,155,412,-21,460,-93,-14,615,319,18,26,-34,3657,3655,3670,3667,11.86121354,11.67725919,11.50933576,11.67725919,0.351877781,0,2.272544003,5.998791506,6.744324138,-1.354096141,9.016868141,4.644695365
50,4,8,35,37,New Mexico,Quay County,8744,8712,8624,8546,-32,-88,-78,19,79,79,39,170,177,-20,-91,-98,0,0,0,-12,-1,21,-12,-1,21,0,4,-1,55,55,55,54,9.113982464,9.20209668,19.61236733,20.61735585,-10.49838486,-11.41525917,0,0,-0.115366867,2.446126966,-0.115366867,2.446126966
50,4,8,35,39,New Mexico,Rio Arriba County,40359,40269,40249,40048,-90,-20,-201,81,400,393,102,492,530,-21,-92,-137,0,25,71,-70,18,-120,-70,43,-49,1,29,-15,218,218,218,218,9.935666559,9.788659601,12.22086987,13.20099132,-2.285203309,-3.412331718,0.62097916,1.768434686,0.447104995,-2.988903695,1.068084155,-1.220469009
50,4,8,35,41,New Mexico,Roosevelt County,19197,19157,19017,18934,-40,-140,-83,52,199,196,28,202,208,24,-3,-12,0,21,53,-61,-161,-122,-61,-140,-69,-3,3,-2,1041,1040,1046,1041,10.42594436,10.32910859,10.5831194,10.96150299,-0.157175041,-0.632394403,1.100225284,2.793075281,-8.435060512,-6.4293431,-7.334835228,-3.636267819
50,4,8,35,43,New Mexico,Sandoval County,148829,149276,151439,153501,447,2163,2062,310,1288,1269,331,1472,1520,-21,-184,-251,3,50,131,469,2324,2151,472,2374,2282,-4,-27,31,1052,1048,1053,1052,8.566250437,8.322948777,9.790000499,9.969174264,-1.223750062,-1.646225487,0.332540778,0.859185414,15.45649535,14.10769332,15.78903613,14.96687873
